time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,ref_2017dez,Equipamento SW01B_MSOMCGR,Equipamento RD04_MSRPCGR,OMCGR_SysUpDeslig,Equipamento RD04_MSOMCGR,Equipamento RD02_MSOMCGR,Equipamento MSOMCGR_SWL3,OMCGR_nOK_0001,Equipamento RD03_MSOMCGR,Equipamento RD01_MSOMCGR,Equipamento RD01_MSRPCGR,ref_2017nov,ref_Periodo,Equipamento SW01A_MSOMCGR,OMCGR_SColTempo_0001_delta_tempo,RPCGR_SysUpDeslig
"2017-11-21 00:00:53","2017-11-21 00:01:26",33.0,1.57828290377E-06, , , , , , , , , , , , ,1,1, ,198, 
"2017-11-21 00:01:26","2017-11-21 00:04:11",165.0,7.89141451883E-06,239, , , , , , , , , , , ,1,1, ,198, 
"2017-11-21 00:04:11","2017-11-21 00:05:25",74.0,3.53917984481E-06,239, , , , , , , , , , , ,1,1, , , 
"2017-11-21 00:05:25","2017-11-21 00:07:25",120.0,5.73921055915E-06, , , , , , , , , , , , ,1,1, , , 
"2017-11-21 00:07:25","2017-11-21 00:10:39",194.0,9.27839040396E-06,194, , , , , , , , , , , ,1,1, , , 
"2017-11-21 00:10:39","2017-11-21 00:18:53",494.0,2.36264168018E-05, , , , , , , , , , , , ,1,1, , , 
"2017-11-21 00:18:53","2017-11-21 00:22:02",189.0,9.03925663067E-06, , , , , , , , , , , , ,1,1, ,189, 
"2017-11-21 00:22:02","2017-11-21 00:38:25",983.0,4.70136998304E-05, , , , , , , , , , , , ,1,1, , , 
"2017-11-21 00:38:25","2017-11-21 00:40:07",102.0,4.87832897528E-06,215, , , , , , , , , , , ,1,1, , , 
"2017-11-21 00:40:07","2017-11-21 00:42:00",113.0,5.40442327654E-06,215, , , , , , , , , , , ,1,1, ,205, 
"2017-11-21 00:42:00","2017-11-21 00:43:32",92.0,4.40006142868E-06, , , , , , , , , , , , ,1,1, ,205, 
"2017-11-21 00:43:32","2017-11-21 19:04:26",66054.0,0.00315914845229, , , , , , , , , , , , ,1,1, , , 
"2017-11-21 19:04:26","2017-11-21 19:04:53",27.0,1.29132237581E-06,903, , , , , , , , , , , ,1,1, , , 
"2017-11-21 19:04:53","2017-11-21 19:19:29",876.0,4.18962370818E-05,903, , , , , , , , , , , ,1,1, ,904, 
"2017-11-21 19:19:29","2017-11-21 19:19:57",28.0,1.33914913047E-06, , , , , , , , , , , , ,1,1, ,904, 
"2017-11-21 19:19:57","2017-11-22 22:59:26",99569.0,0.0047620621347, , , , , , , , , , , , ,1,1, , , 
"2017-11-22 22:59:26","2017-11-22 22:59:53",27.0,1.29132237581E-06,905, , , , , , , , , , , ,1,1, , , 
"2017-11-22 22:59:53","2017-11-22 23:14:31",878.0,4.19918905911E-05,905, , , , , , , , , , , ,1,1, ,906, 
"2017-11-22 23:14:31","2017-11-22 23:14:59",28.0,1.33914913047E-06, , , , , , , , , , , , ,1,1, ,906, 
"2017-11-22 23:14:59","2017-11-23 22:59:25",85466.0,0.00408756141374, , , , , , , , , , , , ,1,1, , , 
"2017-11-23 22:59:25","2017-11-23 22:59:53",28.0,1.33914913047E-06,909, , , , , , , , , , , ,1,1, , , 
"2017-11-23 22:59:53","2017-11-23 23:14:34",881.0,4.21353708551E-05,909, , , , , , , , , , , ,1,1, ,908, 
"2017-11-23 23:14:34","2017-11-23 23:15:01",27.0,1.29132237581E-06, , , , , , , , , , , , ,1,1, ,908, 
"2017-11-23 23:15:01","2017-11-24 22:59:26",85465.0,0.00408751358698, , , , , , , , , , , , ,1,1, , , 
"2017-11-24 22:59:26","2017-11-24 22:59:55",29.0,1.38697588513E-06,910, , , , , , , , , , , ,1,1, , , 
"2017-11-24 22:59:55","2017-11-24 23:14:36",881.0,4.21353708551E-05,910, , , , , , , , , , , ,1,1, ,909, 
"2017-11-24 23:14:36","2017-11-24 23:15:04",28.0,1.33914913047E-06, , , , , , , , , , , , ,1,1, ,909, 
"2017-11-24 23:15:04","2017-11-27 21:12:58",251874.0,0.0120463160031, , , , , , , , , , , , ,1,1, , , 
"2017-11-27 21:12:58","2017-11-27 21:13:30",32.0,1.53045614911E-06, , , , , , , , , , , , ,1,1, ,269, 
"2017-11-27 21:13:30","2017-11-27 21:17:27",237.0,1.13349408543E-05,300, , , , , , , , , , , ,1,1, ,269, 
"2017-11-27 21:17:27","2017-11-27 21:18:30",63.0,3.01308554356E-06,300, , , , , , , , , , , ,1,1, , , 
"2017-11-27 21:18:30","2017-11-27 22:59:30",6060.0,0.000289830133237, , , , , , , , , , , , ,1,1, , , 
"2017-11-27 22:59:30","2017-11-27 22:59:58",28.0,1.33914913047E-06,916, , , , , , , , , , , ,1,1, , , 
"2017-11-27 22:59:58","2017-11-27 23:14:46",888.0,4.24701581377E-05,916, , , , , , , , , , , ,1,1, ,912, 
"2017-11-27 23:14:46","2017-11-27 23:15:10",24.0,1.14784211183E-06, , , , , , , , , , , , ,1,1, ,912, 
"2017-11-27 23:15:10","2017-11-29 21:59:53",168283.0,0.00804842975438, , , , , , , , , , , , ,1,1, , , 
"2017-11-29 21:59:53","2017-11-29 22:00:26",33.0,1.57828290377E-06, , , , , , , , , , , , ,1,1, ,921, 
"2017-11-29 22:00:26","2017-11-29 22:15:14",888.0,4.24701581377E-05,921, , , , , , , , , , , ,1,1, ,921, 
"2017-11-29 22:15:14","2017-11-29 22:15:47",33.0,1.57828290377E-06,921, , , , , , , , , , , ,1,1, , , 
"2017-11-29 22:15:47","2017-11-30 10:19:33",43426.0,0.00207692464785, , , , , , , , , , , , ,1,1, , , 
"2017-11-30 10:19:33","2017-11-30 10:22:06",153.0,7.31749346292E-06,153, , , , , , , , , , , ,1,1, , , 
"2017-11-30 10:22:06","2017-11-30 10:23:25",79.0,3.77831361811E-06, , , , , , , , , , , , ,1,1, , , 
"2017-11-30 10:23:25","2017-11-30 10:26:20",175.0,8.36968206543E-06,175, , , , , , , , , , , ,1,1, , , 
"2017-11-30 10:26:20","2017-11-30 10:55:25",1745.0,8.3457686881E-05, , , , , , , , , , , , ,1,1, , , 
"2017-11-30 10:55:25","2017-11-30 10:55:53",28.0,1.33914913047E-06,1650, , , , , , , , , , , ,1,1, , , 
"2017-11-30 10:55:53","2017-11-30 11:22:55",1622.0,7.75749960579E-05,1650, , , , , , , , , , , ,1,1, ,1622, 
"2017-11-30 11:22:55","2017-11-30 15:10:18",13643.0,0.000652500413821, , , , , , , , , , , , ,1,1, , , 
"2017-11-30 15:10:18","2017-11-30 15:12:46",148.0,7.07835968962E-06,355, , , , , , , , , , , ,1,1, , , 
"2017-11-30 15:12:46","2017-11-30 15:13:46",60.0,2.86960527958E-06,355, , , , , , , ,1, , , ,1,1, , , 
"2017-11-30 15:13:46","2017-11-30 15:14:46",60.0,2.86960527958E-06,355, , , , , , , , , , , ,1,1, , , 
"2017-11-30 15:14:46","2017-11-30 15:15:46",60.0,2.86960527958E-06,355, , , , , , , ,1, , , ,1,1, , , 
"2017-11-30 15:15:46","2017-11-30 15:16:13",27.0,1.29132237581E-06,355, , , , , , , , , , , ,1,1, , , 
"2017-11-30 15:16:13","2017-11-30 21:59:18",24185.0,0.00115669006144, , , , , , , , , , , , ,1,1, , , 
"2017-11-30 21:59:18","2017-11-30 21:59:47",29.0,1.38697588513E-06,918, , , , , , , , , , , ,1,1, , , 
"2017-11-30 21:59:47","2017-11-30 22:14:36",889.0,4.25179848924E-05,918, , , , , , , , , , , ,1,1, ,891, 
"2017-11-30 22:14:36","2017-11-30 22:14:38",2.0,9.56535093192E-08, , , , , , , , , , , , ,1,1, ,891, 
"2017-11-30 22:14:38","2017-11-30 23:59:59",6321.0,0.000302312916203, , , , , , , , , , , , ,1,1, , , 
"2017-11-30 23:59:59","2017-12-01 00:00:00",1.0,4.78267546596E-08, , , , , , , , , , , , , ,1, , , 
"2017-12-01 00:00:00","2017-12-01 21:59:18",79158.0,0.00378587024535, ,1, , , , , , , , , , , ,1, , , 
"2017-12-01 21:59:18","2017-12-01 21:59:47",29.0,1.38697588513E-06,916,1, , , , , , , , , , , ,1, , , 
"2017-12-01 21:59:47","2017-12-01 22:14:34",887.0,4.24223313831E-05,916,1, , , , , , , , , , , ,1, ,889, 
"2017-12-01 22:14:34","2017-12-01 22:14:36",2.0,9.56535093192E-08, ,1, , , , , , , , , , , ,1, ,889, 
"2017-12-01 22:14:36","2017-12-02 21:59:18",85482.0,0.00408832664181, ,1, , , , , , , , , , , ,1, , , 
"2017-12-02 21:59:18","2017-12-02 21:59:46",28.0,1.33914913047E-06,919,1, , , , , , , , , , , ,1, , , 
"2017-12-02 21:59:46","2017-12-02 22:14:37",891.0,4.26136384017E-05,919,1, , , , , , , , , , , ,1, ,894, 
"2017-12-02 22:14:37","2017-12-02 22:14:40",3.0,1.43480263979E-07, ,1, , , , , , , , , , , ,1, ,894, 
